"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"US_11.01.04 | Education > Menu item [Spread betting guide]","Language: en","Country: ae / Role: NoReg","7","0","0","0","0"
"US_01.04 | Markets > Menu item [Indices]","Language: en","Country: ae / Role: Auth","12","0","8","0","0"
"US_11.02.06 | Education > Menu item [Indices Trading]","Language: en","Country: ae / Role: NoAuth","16","0","4","5","0"
"US_11.03.01 | Education > Menu item [Trading Strategies Guides]","Language: en","Country: ae / Role: Auth","3","0","9","3","0"
"US_11.01.06 | Education > Menu item [Investmate app]","Language: en","Country: ae / Role: NoAuth","2","0","2","1","0"
"US_00 | Main Page","Language: en","Country: ae / Role: NoReg","1","0","9","57","0"
"US_11.03.08 | Education > Menu item [Trading Psychology Guide]","Language: en","Country: ae / Role: NoReg","0","0","10","1","0"
"US_01.05 | Markets > Menu item [Commodities]","Language: en","Country: ae / Role: NoReg","2","0","19","1","0"
"US_11.02.02 | Education > Menu item [Shares trading]","Language: en","Country: ae / Role: Auth","4","0","8","5","0"
"US_11.00.01 | Learn to trade > Menu item [Essentials of trading]","Language: en","Country: ae / Role: NoReg","0","0","0","5","0"
"US_01.05 | Markets > Menu item [Commodities]","Language: en","Country: ae / Role: Auth","12","0","10","0","0"
"US_11.01.06 | Education > Menu item [Investmate app]","Language: en","Country: ae / Role: Auth","0","0","4","1","0"
"US_11.01.03 | Education > Menu item [CFD trading guide]","Language: en","Country: ae / Role: NoAuth","4","0","4","2","0"
"US_11.01.06 | Education > Menu item [Investmate app]","Language: en","Country: ae / Role: NoReg","0","0","4","1","0"
"US_01.02 | Markets > Menu item [Shares]","Language: en","Country: ae / Role: Auth","13","0","8","0","0"
"US_11.02.04 | Education > Menu item [Forex trading]","Language: en","Country: ae / Role: NoAuth","7","0","4","4","0"
"US_11.02.02 | Education > Menu item [Shares trading]","Language: en","Country: ae / Role: NoReg","0","0","11","6","0"
"US_11.01.04 | Education > Menu item [Spread betting guide]","Language: en","Country: ae / Role: NoAuth","7","0","0","0","0"
"US_11.00.01 | Learn to trade > Menu item [Essentials of trading]","Language: en","Country: ae / Role: Auth","0","0","0","5","0"
"US_11.02.06 | Education > Menu item [Indices Trading]","Language: en","Country: ae / Role: Auth","12","0","9","4","0"
"US_01.01 | Markets > Menu item [All markets]","Language: en","Country: ae / Role: NoAuth","15","1","7","2","0"
"US_00 | Main Page","Language: en","Country: ae / Role: NoAuth","4","2","4","57","0"
"US_00 | Main Page","Language: en","Country: ae / Role: Auth","4","0","6","57","0"
"US_11.03.08 | Education > Menu item [Trading Psychology Guide]","Language: en","Country: ae / Role: Auth","2","0","9","0","0"
"US_11.02.03 | Education > Menu item [Commodities trading]","Language: en","Country: ae / Role: NoAuth","8","0","4","5","0"
"US_11.03.07 | Education > Menu item [What is a margin?]","Language: en","Country: ae / Role: NoReg","0","0","4","2","0"
"US_01.02 | Markets > Menu item [Shares]","Language: en","Country: ae / Role: NoReg","3","0","17","1","0"
"US_11.03.01 | Education > Menu item [Trading Strategies Guides]","Language: en","Country: ae / Role: NoAuth","6","0","5","4","0"
"US_11.03.02 | Education > Menu item [Day Trading]","Language: en","Country: ae / Role: NoAuth","6","0","3","0","0"
"US_01.01 | Markets > Menu item [All markets]","Language: en","Country: ae / Role: Auth","15","3","7","0","0"
"US_01.03 | Markets > Menu item [Forex]","Language: en","Country: ae / Role: NoReg","4","0","18","1","0"
"US_01.04 | Markets > Menu item [Indices]","Language: en","Country: ae / Role: NoAuth","5","0","13","2","0"
"US_11.02.05 | Education > Menu item [Cryptocurrency trading]","Language: en","Country: ae / Role: NoAuth","9","0","4","5","0"
"US_01.03 | Markets > Menu item [Forex]","Language: en","Country: ae / Role: Auth","13","0","10","0","0"
"US_11.00.00 | Learn to trade","Language: en","Country: ae / Role: Auth","0","0","0","3","0"
"US_11.02.04 | Education > Menu item [Forex trading]","Language: en","Country: ae / Role: NoReg","0","0","11","4","0"
"US_11.00.02 | Learn to trade > Menu Item [Risk-management guide]","Language: en","Country: ae / Role: NoReg","0","0","0","1","0"
"US_11.02.04 | Education > Menu item [Forex trading]","Language: en","Country: ae / Role: Auth","4","0","8","3","0"
"US_11.00.04 | Learn to trade > Menu item [Trading Strategies]","Language: en","Country: ae / Role: NoReg","0","0","0","3","0"
"US_01.07 | Markets > Menu item [ESG]","Language: en","Country: ae / Role: NoReg","0","0","2","0","0"
"US_11.02.03 | Education > Menu item [Commodities trading]","Language: en","Country: ae / Role: Auth","4","0","9","4","0"
"US_01.03 | Markets > Menu item [Forex]","Language: en","Country: ae / Role: NoAuth","5","0","16","2","0"
"US_11.00.04 | Learn to trade > Menu item [Trading Strategies]","Language: en","Country: ae / Role: Auth","0","0","0","3","0"
"US_11.01.07 | Education > Menu item [Glossary of trading terms]","Language: en","Country: ae / Role: Auth","0","0","3","0","0"
"US_11.02.03 | Education > Menu item [Commodities trading]","Language: en","Country: ae / Role: NoReg","0","1","11","5","0"
"US_01.09 | Markets > Menu item [CFD Calculator]","Language: en","Country: ae / Role: Auth","0","0","0","5","0"
"US_11.00.01 | Learn to trade > Menu item [Essentials of trading]","Language: en","Country: ae / Role: NoAuth","0","0","0","5","0"
"US_11.02.02 | Education > Menu item [Shares trading]","Language: en","Country: ae / Role: NoAuth","7","0","4","6","0"
"US_01.02 | Markets > Menu item [Shares]","Language: en","Country: ae / Role: NoAuth","6","0","13","2","0"
"US_11.02.06 | Education > Menu item [Indices Trading]","Language: en","Country: ae / Role: NoReg","0","0","20","5","0"
"US_11.02.07 | Education > Menu item [ETF trading]","Language: en","Country: ae / Role: Auth","1","0","3","0","0"
"US_11.01.03 | Education > Menu item [CFD trading guide]","Language: en","Country: ae / Role: NoReg","0","0","8","2","0"
"US_11.03.03 | Education > Menu item [Trend Trading]","Language: en","Country: ae / Role: Auth","2","0","5","0","0"
"US_01.01 | Markets > Menu item [All markets]","Language: en","Country: ae / Role: NoReg","5","1","18","1","0"
"US_01.04 | Markets > Menu item [Indices]","Language: en","Country: ae / Role: NoReg","3","0","16","1","0"
"US_11.02.05 | Education > Menu item [Cryptocurrency trading]","Language: en","Country: ae / Role: Auth","4","0","10","4","0"
"US_01.05 | Markets > Menu item [Commodities]","Language: en","Country: ae / Role: NoAuth","4","0","16","2","0"
"US_11.03.04 | Education > Menu item [Position Trading]","Language: en","Country: ae / Role: Auth","1","0","6","0","0"
"US_11.02.05 | Education > Menu item [Cryptocurrency trading]","Language: en","Country: ae / Role: NoReg","0","0","13","5","0"
"US_11.00.03 | Learn to trade > Menu item [Market guides]","Language: en","Country: ae / Role: Auth","0","0","0","3","0"
"US_11.01.02 | Education > Menu Item [The basics of trading]","Language: en","Country: ae / Role: Auth","0","0","1","0","0"
"US_11.02.01 | Education > Menu Item [Market guides]","Language: en","Country: ae / Role: Auth","0","0","1","0","0"
"US_11.03.02 | Education > Menu item [Day Trading]","Language: en","Country: ae / Role: NoReg","1","0","8","0","0"
"US_01.07 | Markets > Menu item [ESG]","Language: en","Country: ae / Role: Auth","0","0","2","0","0"
"US_11.03.08 | Education > Menu item [Trading Psychology Guide]","Language: en","Country: ae / Role: NoAuth","6","0","4","1","0"
"US_01.09 | Markets > Menu item [CFD Calculator]","Language: en","Country: ae / Role: NoReg","0","0","0","5","0"
"US_11.01.05 | Education > Menu Item [Trading courses]","Language: en","Country: ae / Role: NoAuth","0","0","3","3","0"
"US_11.03.01 | Education > Menu item [Trading Strategies Guides]","Language: en","Country: ae / Role: NoReg","1","0","10","4","0"
