"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"US_11.02.02 | Education > Menu item [Shares trading]","Language: es","Country: de / Role: NoAuth","19","0","6","2","0"
"US_11.03.07 | Education > Menu item [What is a margin?]","Language: es","Country: de / Role: NoAuth","0","1","0","5","0"
"US_11.02.06 | Education > Menu item [Indices Trading]","Language: es","Country: de / Role: NoReg","1","0","25","17","0"
"US_11.02.04 | Education > Menu item [Forex trading]","Language: es","Country: de / Role: NoReg","0","0","20","3","0"
"US_11.02.05 | Education > Menu item [Cryptocurrency trading]","Language: es","Country: de / Role: NoReg","0","0","23","5","0"
"US_11.02.04 | Education > Menu item [Forex trading]","Language: es","Country: de / Role: NoAuth","14","0","6","3","0"
"US_01.02 | Markets > Menu item [Shares]","Language: es","Country: de / Role: NoAuth","7","0","20","2","0"
"US_11.00.01 | Learn to trade > Menu item [Essentials of trading]","Language: es","Country: de / Role: Auth","0","0","0","5","0"
"US_11.02.05 | Education > Menu item [Cryptocurrency trading]","Language: es","Country: de / Role: Auth","8","0","16","4","0"
"US_11.02.03 | Education > Menu item [Commodities trading]","Language: es","Country: de / Role: NoAuth","20","0","6","1","0"
"US_11.02.06 | Education > Menu item [Indices Trading]","Language: es","Country: de / Role: Auth","8","0","19","16","0"
"US_11.03.08 | Education > Menu item [Trading Psychology Guide]","Language: es","Country: de / Role: NoAuth","0","0","0","5","0"
"US_01.01 | Markets > Menu item [All markets]","Language: es","Country: de / Role: NoAuth","4","0","14","2","0"
"US_11.02.03 | Education > Menu item [Commodities trading]","Language: es","Country: de / Role: Auth","10","0","17","0","0"
"US_11.03.01 | Education > Menu item [Trading Strategies Guides]","Language: es","Country: de / Role: NoAuth","10","0","8","7","0"
"US_11.00.00 | Learn to trade","Language: es","Country: de / Role: NoAuth","0","0","0","3","0"
"US_01.05 | Markets > Menu item [Commodities]","Language: es","Country: de / Role: NoReg","4","0","24","1","0"
"US_11.02.05 | Education > Menu item [Cryptocurrency trading]","Language: es","Country: de / Role: NoAuth","16","1","6","5","0"
"US_11.03.01 | Education > Menu item [Trading Strategies Guides]","Language: es","Country: de / Role: NoReg","5","2","5","13","0"
"US_01.04 | Markets > Menu item [Indices]","Language: es","Country: de / Role: NoAuth","6","0","21","2","0"
"US_01.03 | Markets > Menu item [Forex]","Language: es","Country: de / Role: NoReg","2","0","27","1","0"
"US_00 | Main Page","Language: es","Country: de / Role: NoAuth","2","0","10","50","0"
"US_01.03 | Markets > Menu item [Forex]","Language: es","Country: de / Role: NoAuth","7","0","21","2","0"
"US_00 | Main Page","Language: es","Country: de / Role: Auth","8","0","4","50","0"
"US_01.01 | Markets > Menu item [All markets]","Language: es","Country: de / Role: NoReg","0","0","19","1","0"
"US_11.01.05 | Education > Menu Item [Trading courses]","Language: es","Country: de / Role: NoReg","0","0","4","5","0"
"US_00 | Main Page","Language: es","Country: de / Role: NoReg","1","0","11","50","0"
"US_11.03.01 | Education > Menu item [Trading Strategies Guides]","Language: es","Country: de / Role: Auth","5","0","14","6","0"
"US_01.02 | Markets > Menu item [Shares]","Language: es","Country: de / Role: Auth","16","0","13","0","0"
"US_11.01.07 | Education > Menu item [Glossary of trading terms]","Language: es","Country: de / Role: Auth","0","0","4","0","0"
"US_01.01 | Markets > Menu item [All markets]","Language: es","Country: de / Role: Auth","8","0","12","0","0"
"US_11.03.02 | Education > Menu item [Day Trading]","Language: es","Country: de / Role: NoReg","0","0","0","9","0"
"US_01.05 | Markets > Menu item [Commodities]","Language: es","Country: de / Role: Auth","16","0","13","0","0"
"US_11.02.06 | Education > Menu item [Indices Trading]","Language: es","Country: de / Role: NoAuth","20","0","6","17","0"
"US_01.05 | Markets > Menu item [Commodities]","Language: es","Country: de / Role: NoAuth","6","0","21","2","0"
"US_11.01.03 | Education > Menu item [CFD trading guide]","Language: es","Country: de / Role: NoReg","0","0","12","3","0"
"US_01.02 | Markets > Menu item [Shares]","Language: es","Country: de / Role: NoReg","7","0","21","1","0"
"US_11.01.04 | Education > Menu item [Spread betting guide]","Language: es","Country: de / Role: Auth","5","0","0","2","0"
"US_01.04 | Markets > Menu item [Indices]","Language: es","Country: de / Role: Auth","16","0","13","0","0"
"US_01.03 | Markets > Menu item [Forex]","Language: es","Country: de / Role: Auth","13","3","14","0","0"
"US_01.04 | Markets > Menu item [Indices]","Language: es","Country: de / Role: NoReg","2","0","26","1","0"
"US_11.03.07 | Education > Menu item [What is a margin?]","Language: es","Country: de / Role: NoReg","1","1","1","3","0"
"US_11.00.01 | Learn to trade > Menu item [Essentials of trading]","Language: es","Country: de / Role: NoAuth","0","0","0","5","0"
"US_11.02.02 | Education > Menu item [Shares trading]","Language: es","Country: de / Role: Auth","10","1","15","1","0"
"US_11.01.06 | Education > Menu item [Investmate app]","Language: es","Country: de / Role: NoAuth","2","0","3","0","0"
"US_11.02.03 | Education > Menu item [Commodities trading]","Language: es","Country: de / Role: NoReg","0","0","26","1","0"
"US_11.01.03 | Education > Menu item [CFD trading guide]","Language: es","Country: de / Role: Auth","3","0","10","2","0"
"US_11.02.07 | Education > Menu item [ETF trading]","Language: es","Country: de / Role: NoReg","0","0","4","0","0"
"US_11.03.07 | Education > Menu item [What is a margin?]","Language: es","Country: de / Role: Auth","0","1","0","5","0"
"US_11.02.07 | Education > Menu item [ETF trading]","Language: es","Country: de / Role: NoAuth","2","0","2","0","0"
"US_11.01.03 | Education > Menu item [CFD trading guide]","Language: es","Country: de / Role: NoAuth","6","0","6","3","0"
"US_11.03.04 | Education > Menu item [Position Trading]","Language: es","Country: de / Role: NoAuth","0","0","0","7","0"
"US_11.02.04 | Education > Menu item [Forex trading]","Language: es","Country: de / Role: Auth","9","0","12","2","0"
"US_11.03.02 | Education > Menu item [Day Trading]","Language: es","Country: de / Role: Auth","0","0","0","9","0"
"US_11.00.06 | Learn to trade > Menu Item [Help]","Language: es","Country: de / Role: Auth","0","0","0","1","0"
"US_11.02.02 | Education > Menu item [Shares trading]","Language: es","Country: de / Role: NoReg","0","0","25","2","0"
"US_11.03.03 | Education > Menu item [Trend Trading]","Language: es","Country: de / Role: NoAuth","0","0","0","7","0"
"US_11.01.05 | Education > Menu Item [Trading courses]","Language: es","Country: de / Role: NoAuth","0","0","4","5","0"
"US_11.00.03 | Learn to trade > Menu item [Market guides]","Language: es","Country: de / Role: NoAuth","0","0","0","3","0"
"US_11.03.05 | Education > Menu item [Swing Trading]","Language: es","Country: de / Role: Auth","0","0","0","7","0"
"US_11.02.01 | Education > Menu Item [Market guides]","Language: es","Country: de / Role: NoAuth","0","0","1","0","0"
"US_11.01.06 | Education > Menu item [Investmate app]","Language: es","Country: de / Role: NoReg","0","0","5","0","0"
"US_11.03.02 | Education > Menu item [Day Trading]","Language: es","Country: de / Role: NoAuth","0","0","0","9","0"
"US_11.00.04 | Learn to trade > Menu item [Trading Strategies]","Language: es","Country: de / Role: NoReg","0","0","0","3","0"
"US_11.03.08 | Education > Menu item [Trading Psychology Guide]","Language: es","Country: de / Role: NoReg","0","0","0","5","0"
"US_11.00.01 | Learn to trade > Menu item [Essentials of trading]","Language: es","Country: de / Role: NoReg","0","0","0","5","0"
"US_11.03.05 | Education > Menu item [Swing Trading]","Language: es","Country: de / Role: NoAuth","0","0","0","7","0"
"US_11.01.04 | Education > Menu item [Spread betting guide]","Language: es","Country: de / Role: NoAuth","5","0","0","2","0"
"US_11.03.04 | Education > Menu item [Position Trading]","Language: es","Country: de / Role: NoReg","0","0","0","7","0"
"US_01.07 | Markets > Menu item [ESG]","Language: es","Country: de / Role: Auth","0","0","0","1","0"
"US_11.03.03 | Education > Menu item [Trend Trading]","Language: es","Country: de / Role: NoReg","0","0","0","7","0"
"US_11.01.02 | Education > Menu Item [The basics of trading]","Language: es","Country: de / Role: NoReg","0","0","1","0","0"
"US_11.01.05 | Education > Menu Item [Trading courses]","Language: es","Country: de / Role: Auth","1","0","4","4","0"
"US_11.02.07 | Education > Menu item [ETF trading]","Language: es","Country: de / Role: Auth","1","0","3","0","0"
"US_11.03.03 | Education > Menu item [Trend Trading]","Language: es","Country: de / Role: Auth","0","0","0","7","0"
"US_11.00.00 | Learn to trade","Language: es","Country: de / Role: Auth","0","0","0","3","0"
"US_11.03.04 | Education > Menu item [Position Trading]","Language: es","Country: de / Role: Auth","0","0","0","7","0"
"US_11.01.07 | Education > Menu item [Glossary of trading terms]","Language: es","Country: de / Role: NoAuth","0","0","3","1","0"
"US_11.00.04 | Learn to trade > Menu item [Trading Strategies]","Language: es","Country: de / Role: NoAuth","0","0","0","3","0"
"US_11.01.01 | Education > Menu Item [Learning hub]","Language: es","Country: de / Role: NoAuth","0","0","1","0","0"
"US_11.03.05 | Education > Menu item [Swing Trading]","Language: es","Country: de / Role: NoReg","0","0","0","7","0"
"US_11.02.01 | Education > Menu Item [Market guides]","Language: es","Country: de / Role: Auth","0","0","1","0","0"
"US_11.01.06 | Education > Menu item [Investmate app]","Language: es","Country: de / Role: Auth","0","0","5","0","0"
"US_11.01.02 | Education > Menu Item [The basics of trading]","Language: es","Country: de / Role: NoAuth","0","0","1","0","0"
"US_11.03.08 | Education > Menu item [Trading Psychology Guide]","Language: es","Country: de / Role: Auth","0","0","0","5","0"
"US_11.00.03 | Learn to trade > Menu item [Market guides]","Language: es","Country: de / Role: Auth","0","0","0","3","0"
"US_11.01.01 | Education > Menu Item [Learning hub]","Language: es","Country: de / Role: Auth","0","0","1","0","0"
"US_01.07 | Markets > Menu item [ESG]","Language: es","Country: de / Role: NoAuth","0","0","0","1","0"
"US_11.00.03 | Learn to trade > Menu item [Market guides]","Language: es","Country: de / Role: NoReg","0","0","0","3","0"
"US_11.00.00 | Learn to trade","Language: es","Country: de / Role: NoReg","0","0","0","3","0"
"US_11.01.04 | Education > Menu item [Spread betting guide]","Language: es","Country: de / Role: NoReg","5","0","0","2","0"
"US_11.01.07 | Education > Menu item [Glossary of trading terms]","Language: es","Country: de / Role: NoReg","0","0","3","1","0"
"US_11.01.01 | Education > Menu Item [Learning hub]","Language: es","Country: de / Role: NoReg","0","0","1","0","0"
"US_11.00.02 | Learn to trade > Menu Item [Risk-management guide]","Language: es","Country: de / Role: NoAuth","0","0","0","1","0"
"US_11.00.04 | Learn to trade > Menu item [Trading Strategies]","Language: es","Country: de / Role: Auth","0","0","0","3","0"
"US_01.07 | Markets > Menu item [ESG]","Language: es","Country: de / Role: NoReg","0","0","0","1","0"
"US_11.02.01 | Education > Menu Item [Market guides]","Language: es","Country: de / Role: NoReg","0","0","1","0","0"
"US_11.00.05 | Learn to trade > Menu Item [Technical analysis]","Language: es","Country: de / Role: Auth","0","0","0","1","0"
"US_11.00.06 | Learn to trade > Menu Item [Help]","Language: es","Country: de / Role: NoReg","0","0","0","1","0"
