"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"US_01.05 | Markets > Menu item [Commodities]","Language: ro","Country: ae / Role: Auth","16","0","13","0","0"
"US_00 | Main Page","Language: ro","Country: ae / Role: Auth","7","0","4","49","0"
"US_11.03.03 | Education > Menu item [Trend Trading]","Language: ro","Country: ae / Role: Auth","0","0","0","7","0"
"US_11.03.04 | Education > Menu item [Position Trading]","Language: ro","Country: ae / Role: NoAuth","0","0","0","7","0"
"US_00 | Main Page","Language: ro","Country: ae / Role: NoReg","0","0","11","49","0"
"US_11.00.04 | Learn to trade > Menu item [Trading Strategies]","Language: ro","Country: ae / Role: NoReg","0","0","0","3","0"
"US_01.05 | Markets > Menu item [Commodities]","Language: ro","Country: ae / Role: NoReg","4","0","24","1","0"
"","","","0","0","0","126","0"
"US_01.04 | Markets > Menu item [Indices]","Language: ro","Country: ae / Role: Auth","16","0","13","0","0"
"US_11.02.04 | Education > Menu item [Forex trading]","Language: ro","Country: ae / Role: NoAuth","0","0","0","7","0"
"US_11.03.07 | Education > Menu item [What is a margin?]","Language: ro","Country: ae / Role: NoReg","0","0","0","6","0"
"US_11.02.07 | Education > Menu item [ETF trading]","Language: ro","Country: ae / Role: Auth","0","0","0","4","0"
"US_11.02.02 | Education > Menu item [Shares trading]","Language: ro","Country: ae / Role: Auth","7","0","18","2","0"
"US_11.00.03 | Learn to trade > Menu item [Market guides]","Language: ro","Country: ae / Role: NoAuth","0","0","0","3","0"
"US_01.02 | Markets > Menu item [Shares]","Language: ro","Country: ae / Role: Auth","16","0","13","0","0"
"US_01.03 | Markets > Menu item [Forex]","Language: ro","Country: ae / Role: NoReg","4","1","24","1","0"
"US_00 | Main Page","Language: ro","Country: ae / Role: NoAuth","1","0","10","49","0"
"US_11.03.02 | Education > Menu item [Day Trading]","Language: ro","Country: ae / Role: NoReg","0","0","0","9","0"
"US_11.03.08 | Education > Menu item [Trading Psychology Guide]","Language: ro","Country: ae / Role: NoAuth","0","0","0","5","0"
"US_11.03.01 | Education > Menu item [Trading Strategies Guides]","Language: ro","Country: ae / Role: Auth","0","0","0","5","0"
"US_01.03 | Markets > Menu item [Forex]","Language: ro","Country: ae / Role: NoAuth","10","1","17","2","0"
"US_11.03.02 | Education > Menu item [Day Trading]","Language: ro","Country: ae / Role: NoAuth","0","0","0","9","0"
"US_11.03.05 | Education > Menu item [Swing Trading]","Language: ro","Country: ae / Role: NoReg","0","0","0","7","0"
"US_11.01.03 | Education > Menu item [CFD trading guide]","Language: ro","Country: ae / Role: NoAuth","6","0","6","3","0"
"US_11.02.05 | Education > Menu item [Cryptocurrency trading]","Language: ro","Country: ae / Role: NoAuth","15","0","6","7","0"
"US_01.01 | Markets > Menu item [All markets]","Language: ro","Country: ae / Role: NoReg","0","0","19","1","0"
"US_11.03.08 | Education > Menu item [Trading Psychology Guide]","Language: ro","Country: ae / Role: Auth","0","0","0","5","0"
"US_11.02.05 | Education > Menu item [Cryptocurrency trading]","Language: ro","Country: ae / Role: Auth","7","0","15","6","0"
"US_01.01 | Markets > Menu item [All markets]","Language: ro","Country: ae / Role: Auth","8","0","12","0","0"
"US_11.03.01 | Education > Menu item [Trading Strategies Guides]","Language: ro","Country: ae / Role: NoAuth","0","0","0","5","0"
"US_11.02.03 | Education > Menu item [Commodities trading]","Language: ro","Country: ae / Role: Auth","9","0","16","2","0"
"US_11.02.02 | Education > Menu item [Shares trading]","Language: ro","Country: ae / Role: NoAuth","18","0","6","3","0"
"US_11.03.03 | Education > Menu item [Trend Trading]","Language: ro","Country: ae / Role: NoAuth","0","0","0","7","0"
"US_01.03 | Markets > Menu item [Forex]","Language: ro","Country: ae / Role: Auth","16","1","13","0","0"
"US_11.01.04 | Education > Menu item [Spread betting guide]","Language: ro","Country: ae / Role: NoReg","0","0","0","7","0"
"US_11.03.05 | Education > Menu item [Swing Trading]","Language: ro","Country: ae / Role: Auth","0","0","0","7","0"
"US_11.00.03 | Learn to trade > Menu item [Market guides]","Language: ro","Country: ae / Role: NoReg","0","0","0","3","0"
"US_11.00.01 | Learn to trade > Menu item [Essentials of trading]","Language: ro","Country: ae / Role: Auth","0","0","0","5","0"
"US_01.02 | Markets > Menu item [Shares]","Language: ro","Country: ae / Role: NoReg","3","0","25","1","0"
"US_01.04 | Markets > Menu item [Indices]","Language: ro","Country: ae / Role: NoReg","2","0","26","1","0"
"US_11.02.03 | Education > Menu item [Commodities trading]","Language: ro","Country: ae / Role: NoAuth","18","0","6","3","0"
"US_11.00.01 | Learn to trade > Menu item [Essentials of trading]","Language: ro","Country: ae / Role: NoReg","0","0","0","5","0"
"US_11.02.05 | Education > Menu item [Cryptocurrency trading]","Language: ro","Country: ae / Role: NoReg","0","0","21","7","0"
"US_11.03.04 | Education > Menu item [Position Trading]","Language: ro","Country: ae / Role: Auth","0","0","0","7","0"
"US_01.02 | Markets > Menu item [Shares]","Language: ro","Country: ae / Role: NoAuth","8","0","19","2","0"
"US_11.01.07 | Education > Menu item [Glossary of trading terms]","Language: ro","Country: ae / Role: NoAuth","0","0","3","1","0"
"US_11.00.00 | Learn to trade","Language: ro","Country: ae / Role: NoAuth","0","0","0","3","0"
"US_11.02.07 | Education > Menu item [ETF trading]","Language: ro","Country: ae / Role: NoAuth","0","0","0","4","0"
"US_01.05 | Markets > Menu item [Commodities]","Language: ro","Country: ae / Role: NoAuth","9","0","18","2","0"
"US_11.00.04 | Learn to trade > Menu item [Trading Strategies]","Language: ro","Country: ae / Role: NoAuth","0","0","0","3","0"
"US_11.03.02 | Education > Menu item [Day Trading]","Language: ro","Country: ae / Role: Auth","0","0","0","9","0"
"US_11.02.06 | Education > Menu item [Indices Trading]","Language: ro","Country: ae / Role: Auth","0","0","0","7","0"
"US_11.01.06 | Education > Menu item [Investmate app]","Language: ro","Country: ae / Role: NoAuth","0","0","0","5","0"
"US_11.02.03 | Education > Menu item [Commodities trading]","Language: ro","Country: ae / Role: NoReg","0","0","24","3","0"
"US_11.02.02 | Education > Menu item [Shares trading]","Language: ro","Country: ae / Role: NoReg","0","0","24","3","0"
"US_11.01.03 | Education > Menu item [CFD trading guide]","Language: ro","Country: ae / Role: Auth","2","0","11","2","0"
"US_11.03.05 | Education > Menu item [Swing Trading]","Language: ro","Country: ae / Role: NoAuth","0","0","0","7","0"
"US_11.03.01 | Education > Menu item [Trading Strategies Guides]","Language: ro","Country: ae / Role: NoReg","0","0","0","5","0"
"US_11.02.04 | Education > Menu item [Forex trading]","Language: ro","Country: ae / Role: NoReg","0","0","0","7","0"
"US_11.00.02 | Learn to trade > Menu Item [Risk-management guide]","Language: ro","Country: ae / Role: NoReg","0","0","0","1","0"
"US_01.01 | Markets > Menu item [All markets]","Language: ro","Country: ae / Role: NoAuth","4","0","14","2","0"
"US_11.01.02 | Education > Menu Item [The basics of trading]","Language: ro","Country: ae / Role: NoReg","0","0","1","0","0"
"US_01.04 | Markets > Menu item [Indices]","Language: ro","Country: ae / Role: NoAuth","11","0","16","2","0"
"US_11.02.06 | Education > Menu item [Indices Trading]","Language: ro","Country: ae / Role: NoReg","0","0","0","7","0"
"US_11.03.08 | Education > Menu item [Trading Psychology Guide]","Language: ro","Country: ae / Role: NoReg","0","0","0","5","0"
