"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"US_11.03.05 | Education > Menu item [Swing Trading]","Language: zh","Country: au / Role: NoReg","0","0","0","7","0"
"US_11.03.08 | Education > Menu item [Trading Psychology Guide]","Language: zh","Country: au / Role: NoAuth","0","0","0","5","0"
"US_11.01.02 | Education > Menu Item [The basics of trading]","Language: zh","Country: au / Role: NoReg","0","0","1","0","0"
"US_11.03.04 | Education > Menu item [Position Trading]","Language: zh","Country: au / Role: NoAuth","0","0","0","7","0"
"US_11.02.04 | Education > Menu item [Forex trading]","Language: zh","Country: au / Role: NoReg","0","0","4","3","0"
"US_01.07 | Markets > Menu item [ESG]","Language: zh","Country: au / Role: NoReg","0","0","0","2","0"
"US_11.03.02 | Education > Menu item [Day Trading]","Language: zh","Country: au / Role: Auth","0","0","0","9","0"
"US_11.03.02 | Education > Menu item [Day Trading]","Language: zh","Country: au / Role: NoAuth","0","0","0","9","0"
"US_11.02.03 | Education > Menu item [Commodities trading]","Language: zh","Country: au / Role: NoAuth","4","0","2","1","0"
"US_11.03.04 | Education > Menu item [Position Trading]","Language: zh","Country: au / Role: NoReg","0","0","0","7","0"
"US_11.00.06 | Learn to trade > Menu Item [Help]","Language: zh","Country: au / Role: NoAuth","0","0","0","1","0"
"US_11.01.07 | Education > Menu item [Glossary of trading terms]","Language: zh","Country: au / Role: NoReg","0","0","2","1","0"
"US_11.00.00 | Learn to trade","Language: zh","Country: au / Role: NoAuth","0","0","0","3","0"
"US_11.00.04 | Learn to trade > Menu item [Trading Strategies]","Language: zh","Country: au / Role: NoAuth","0","0","0","3","0"
"US_11.00.03 | Learn to trade > Menu item [Market guides]","Language: zh","Country: au / Role: Auth","0","0","0","3","0"
"US_01.05 | Markets > Menu item [Commodities]","Language: zh","Country: au / Role: NoReg","1","1","17","1","0"
"US_01.07 | Markets > Menu item [ESG]","Language: zh","Country: au / Role: NoAuth","0","0","0","2","0"
"US_11.01.06 | Education > Menu item [Investmate app]","Language: zh","Country: au / Role: NoAuth","0","0","0","5","0"
"US_11.03.07 | Education > Menu item [What is a margin?]","Language: zh","Country: au / Role: NoReg","0","0","0","6","0"
"US_11.02.07 | Education > Menu item [ETF trading]","Language: zh","Country: au / Role: Auth","0","0","0","4","0"
"US_11.01.07 | Education > Menu item [Glossary of trading terms]","Language: zh","Country: au / Role: Auth","0","0","3","0","0"
"US_11.01.03 | Education > Menu item [CFD trading guide]","Language: zh","Country: au / Role: NoAuth","6","0","2","2","0"
"US_11.01.05 | Education > Menu Item [Trading courses]","Language: zh","Country: au / Role: NoReg","0","0","3","3","0"
"US_11.01.04 | Education > Menu item [Spread betting guide]","Language: zh","Country: au / Role: NoReg","0","0","0","7","0"
"US_11.03.02 | Education > Menu item [Day Trading]","Language: zh","Country: au / Role: NoReg","0","0","0","9","0"
"US_11.02.04 | Education > Menu item [Forex trading]","Language: zh","Country: au / Role: NoAuth","2","0","2","3","0"
"US_11.00.00 | Learn to trade","Language: zh","Country: au / Role: Auth","0","0","0","3","0"
"US_11.00.01 | Learn to trade > Menu item [Essentials of trading]","Language: zh","Country: au / Role: NoAuth","0","0","0","5","0"
"US_11.00.02 | Learn to trade > Menu Item [Risk-management guide]","Language: zh","Country: au / Role: NoAuth","0","0","0","1","0"
"US_11.00.02 | Learn to trade > Menu Item [Risk-management guide]","Language: zh","Country: au / Role: Auth","0","0","0","1","0"
"US_11.03.03 | Education > Menu item [Trend Trading]","Language: zh","Country: au / Role: Auth","0","0","0","7","0"
"US_11.03.03 | Education > Menu item [Trend Trading]","Language: zh","Country: au / Role: NoReg","0","0","0","7","0"
"US_11.02.07 | Education > Menu item [ETF trading]","Language: zh","Country: au / Role: NoReg","0","0","0","4","0"
"US_01.07 | Markets > Menu item [ESG]","Language: zh","Country: au / Role: Auth","0","0","0","2","0"
"US_11.03.07 | Education > Menu item [What is a margin?]","Language: zh","Country: au / Role: Auth","0","0","0","6","0"
"US_11.00.05 | Learn to trade > Menu Item [Technical analysis]","Language: zh","Country: au / Role: NoAuth","0","0","0","1","0"
"US_11.02.01 | Education > Menu Item [Market guides]","Language: zh","Country: au / Role: NoAuth","0","0","1","0","0"
"US_11.02.01 | Education > Menu Item [Market guides]","Language: zh","Country: au / Role: NoReg","0","0","1","0","0"
"US_11.00.06 | Learn to trade > Menu Item [Help]","Language: zh","Country: au / Role: NoReg","0","0","0","1","0"
"US_11.01.07 | Education > Menu item [Glossary of trading terms]","Language: zh","Country: au / Role: NoAuth","0","0","2","1","0"
"US_11.00.03 | Learn to trade > Menu item [Market guides]","Language: zh","Country: au / Role: NoReg","0","0","0","3","0"
"US_11.00.05 | Learn to trade > Menu Item [Technical analysis]","Language: zh","Country: au / Role: NoReg","0","0","0","1","0"
"US_11.02.01 | Education > Menu Item [Market guides]","Language: zh","Country: au / Role: Auth","0","0","1","0","0"
"US_11.01.01 | Education > Menu Item [Learning hub]","Language: zh","Country: au / Role: NoReg","0","0","1","0","0"
"US_11.00.06 | Learn to trade > Menu Item [Help]","Language: zh","Country: au / Role: Auth","0","0","0","1","0"
"US_11.01.01 | Education > Menu Item [Learning hub]","Language: zh","Country: au / Role: NoAuth","0","0","1","0","0"
"US_11.01.02 | Education > Menu Item [The basics of trading]","Language: zh","Country: au / Role: NoAuth","0","0","1","0","0"
"US_11.01.02 | Education > Menu Item [The basics of trading]","Language: zh","Country: au / Role: Auth","0","0","1","0","0"
"US_11.00.05 | Learn to trade > Menu Item [Technical analysis]","Language: zh","Country: au / Role: Auth","0","0","0","1","0"
