"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"US_01.02 | Markets > Menu item [Shares]","Language: de","Country: au / Role: NoAuth","5","0","14","2","0"
"US_01.05 | Markets > Menu item [Commodities]","Language: de","Country: au / Role: Auth","13","0","9","0","0"
"US_11.03.01 | Education > Menu item [Trading Strategies Guides]","Language: de","Country: au / Role: NoReg","0","0","8","7","0"
"US_00 | Main Page","Language: de","Country: au / Role: NoReg","1","0","13","54","0"
"US_11.02.06 | Education > Menu item [Indices Trading]","Language: de","Country: au / Role: NoAuth","11","0","4","10","0"
"US_11.02.02 | Education > Menu item [Shares trading]","Language: de","Country: au / Role: NoReg","0","0","15","2","0"
"US_11.03.07 | Education > Menu item [What is a margin?]","Language: de","Country: au / Role: Auth","0","0","6","0","0"
"US_11.03.01 | Education > Menu item [Trading Strategies Guides]","Language: de","Country: au / Role: Auth","2","0","7","6","0"
"US_11.01.06 | Education > Menu item [Investmate app]","Language: de","Country: au / Role: NoAuth","2","0","3","0","0"
"US_11.02.04 | Education > Menu item [Forex trading]","Language: de","Country: au / Role: NoAuth","8","0","4","3","0"
"US_11.03.03 | Education > Menu item [Trend Trading]","Language: de","Country: au / Role: NoReg","0","0","0","7","0"
"US_11.02.07 | Education > Menu item [ETF trading]","Language: de","Country: au / Role: Auth","1","0","3","0","0"
"US_11.02.05 | Education > Menu item [Cryptocurrency trading]","Language: de","Country: au / Role: Auth","4","1","10","3","0"
"US_11.03.03 | Education > Menu item [Trend Trading]","Language: de","Country: au / Role: Auth","0","0","0","7","0"
"US_01.01 | Markets > Menu item [All markets]","Language: de","Country: au / Role: Auth","18","0","7","0","0"
"US_11.03.02 | Education > Menu item [Day Trading]","Language: de","Country: au / Role: NoAuth","0","0","0","9","0"
"US_11.02.04 | Education > Menu item [Forex trading]","Language: de","Country: au / Role: NoReg","0","0","12","3","0"
"US_11.02.05 | Education > Menu item [Cryptocurrency trading]","Language: de","Country: au / Role: NoReg","0","0","14","4","0"
"US_11.02.07 | Education > Menu item [ETF trading]","Language: de","Country: au / Role: NoReg","0","0","4","0","0"
"US_01.04 | Markets > Menu item [Indices]","Language: de","Country: au / Role: Auth","12","0","8","0","0"
"US_11.02.03 | Education > Menu item [Commodities trading]","Language: de","Country: au / Role: Auth","6","0","11","0","0"
"US_11.00.00 | Learn to trade","Language: de","Country: au / Role: Auth","0","0","0","3","0"
"US_11.00.04 | Learn to trade > Menu item [Trading Strategies]","Language: de","Country: au / Role: Auth","0","0","0","3","0"
"US_11.02.01 | Education > Menu Item [Market guides]","Language: de","Country: au / Role: Auth","0","0","1","0","0"
"US_11.03.04 | Education > Menu item [Position Trading]","Language: de","Country: au / Role: Auth","0","0","0","7","0"
"US_11.00.01 | Learn to trade > Menu item [Essentials of trading]","Language: de","Country: au / Role: NoAuth","0","0","0","5","0"
"US_11.03.08 | Education > Menu item [Trading Psychology Guide]","Language: de","Country: au / Role: NoReg","0","0","0","5","0"
"US_11.03.03 | Education > Menu item [Trend Trading]","Language: de","Country: au / Role: NoAuth","0","0","0","7","0"
"US_11.03.04 | Education > Menu item [Position Trading]","Language: de","Country: au / Role: NoReg","0","0","0","7","0"
"US_01.09 | Markets > Menu item [CFD Calculator]","Language: de","Country: au / Role: NoAuth","0","0","0","6","0"
"US_11.00.00 | Learn to trade","Language: de","Country: au / Role: NoAuth","0","0","0","3","0"
"US_11.01.03 | Education > Menu item [CFD trading guide]","Language: de","Country: au / Role: NoReg","0","0","8","2","0"
"US_11.00.03 | Learn to trade > Menu item [Market guides]","Language: de","Country: au / Role: NoReg","0","0","0","3","0"
"US_11.01.06 | Education > Menu item [Investmate app]","Language: de","Country: au / Role: NoReg","0","0","5","0","0"
"US_11.00.01 | Learn to trade > Menu item [Essentials of trading]","Language: de","Country: au / Role: Auth","0","0","0","5","0"
"US_11.03.08 | Education > Menu item [Trading Psychology Guide]","Language: de","Country: au / Role: Auth","0","0","0","5","0"
"US_11.01.03 | Education > Menu item [CFD trading guide]","Language: de","Country: au / Role: Auth","2","0","7","1","0"
"US_01.09 | Markets > Menu item [CFD Calculator]","Language: de","Country: au / Role: NoReg","0","0","0","6","0"
"US_11.03.05 | Education > Menu item [Swing Trading]","Language: de","Country: au / Role: Auth","0","0","0","7","0"
"US_11.00.03 | Learn to trade > Menu item [Market guides]","Language: de","Country: au / Role: NoAuth","0","0","0","3","0"
"US_11.01.06 | Education > Menu item [Investmate app]","Language: de","Country: au / Role: Auth","0","0","5","0","0"
